# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  girl                          7  6.56868  .392329  6.46164  9.11978  10.0476
  surfer                        6  5.21159  1.09041  5.59179  6.80789  7.38222
  sylv                        571   4.3659  2.84019  4.52135  5.67408  7.28179
  tiger1                       25  6.77953  4.78376  7.04671  8.30426   10.285
  tiger2                       39  6.71213  3.32013  6.96857  8.42241  9.03684
  twinings                    342  3.72731  1.97299  3.67486  6.15933   7.4334
  01_david                      2  3.57615   .38776   .38776   .38776  6.76455
  02_jumping                   15  4.83334  .672676  5.02131   6.2286  6.47324
  03_pedestrian1                9  6.77846  .555206  6.92859  9.32584  10.0376
  04_pedestrian2               16  6.59745  .397759  6.68751  7.87571  8.94241
  05_pedestrian3               54  5.81691  4.47898  5.83191  7.66137  9.55807
  06_car                      211  5.08645  3.34086  5.08835  6.75768  7.89512
  07_motocross                  8  8.03432  .935062  8.32518   9.7142  13.7503
  08_volkswagen               274  5.71969  4.25063  5.78199   7.0325  7.82524
  09_carchase                  67  4.61237  3.05065  4.55053    7.049  7.83316
  10_panda                     52  4.13384  1.81086   4.4866  5.49363  6.21657

Summary:
                              N       Mean      P05      P50      P95      MAX
  BoofCV-TLD                33365  47.0482  8.38335  48.4699  87.5096   148.03
  BoofCV-Circulant          33365  .414574  .399252  .408098  .433066   10.929
  BoofCV-Comaniciu          33365  .389637  .066785  .423107  .547361    4.315
  BoofCV-MeanShiftHist      33365  .012057  1.60E-04  1.90E-04  .067387  3.14855
  BoofCV-SparseFlow          3505  4.57648  2.18785  4.59732  6.78524  13.7503
