# GENERATOR DisparityRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  BM5_SAD                      15   440.81  124.696  477.679  509.488  526.936
  BM5_CENSUS                   15  525.336   148.09  558.903  616.482  619.624
  BM5_NCC                      15  641.295  184.641  684.319  753.897  753.947
  BM_SAD                       15  187.476  50.8706  204.406  224.777  225.425
  BM_CENSUS                    15  250.496  70.2897  266.049  294.929  296.129
  BM_NCC                       15  302.544  84.6862  323.524  360.747  362.226
  SGM_ABSOLUTE_DIFFERENCE      15  2454.01  705.442  2581.95  2883.34  2923.79
  SGM_CENSUS                   15   2865.1  803.947  3127.18  3313.09  3366.43
  SGM_MUTUAL_INFORMATION       15  2920.93  814.457  3104.23   3391.9  3405.62
