# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  girl                        502  1.10705  3.48E-04  3.95E-04  12.2098  16.5834
  surfer                      376  .286908  3.64E-04  4.15E-04  5.30E-04  11.2013
  sylv                       1344  2.54571  3.46E-04  4.04E-04  7.28118   9.5558
  tiger1                      354  .299929  3.27E-04  3.70E-04  4.85E-04  10.0649
  tiger2                      365  .997116  3.71E-04  4.54E-04    9.336  12.2084
  twinings                    467  1.74384  3.82E-04  4.47E-04  5.88804  8.99716
  01_david                    761  .027922  3.04E-04  3.44E-04  4.16E-04  11.1801
  02_jumping                  313   .34495  3.16E-04  3.67E-04  7.02E-04  8.88154
  03_pedestrian1              140  3.13996  3.18E-04  3.76E-04  11.8998  14.0649
  04_pedestrian2              338  .299679  8.60E-05  1.00E-04  1.54E-04  10.7807
  05_pedestrian3              184  2.24417  9.20E-05  1.22E-04  8.45034  9.58741
  06_car                      945  1.41595  9.10E-05  1.10E-04  7.60762  10.0994
  07_motocross               2665  .054398  8.30E-05  1.14E-04  1.58E-04  16.7483
  08_volkswagen              8576  1.39E-03  4.20E-05  6.80E-05  9.20E-05  10.1631
  09_carchase                9928  4.90E-03  5.70E-05  8.30E-05  1.06E-04  10.3989
  10_panda                   3000  .104185  5.90E-05  7.90E-05  1.08E-04  8.83752

Summary:
                              N       Mean      P05      P50      P95      MAX
  BoofCV-TLD                33365  57.9505  12.9195  55.3462   111.16  153.554
  BoofCV-Circulant          33365  .594534  .560966  .590489  .629144  8.83673
  BoofCV-Comaniciu          33365   .49258  .083191  .515348  .838558  3.54317
  BoofCV-MeanShiftHist      33365  .018959  1.01E-04  3.04E-04  .117371  2.46933
  BoofCV-SparseFlow         33365  .547454  4.80E-05  8.70E-05  5.83592  16.7483
