# GENERATOR DisparityRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  BM5_SAD                      15  531.186  146.193  571.838  625.992  638.231
  BM5_CENSUS                   15  627.544  172.343  669.474  740.895  741.666
  BM5_NCC                      15  777.319  220.093  821.686  900.148  1076.63
  BM_SAD                       15  218.235  59.4545  237.401  261.051  262.412
  BM_CENSUS                    15  288.594  81.6697  307.275  337.975  338.082
  BM_NCC                       15  330.004  91.7044  353.218   393.45  393.917
  SGM_ABSOLUTE_DIFFERENCE      15     2931  825.837  3079.47  3470.16  3527.82
  SGM_CENSUS                   15  3413.72   944.75   3728.3  3967.21  4032.67
  SGM_MUTUAL_INFORMATION       15  3468.32  958.631  3668.62  4052.24  4069.52
