# GENERATOR DisparityRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  BM5_SAD                      15  322.546  92.5287  343.992  377.869  390.311
  BM5_CENSUS                   15  360.125  102.316  383.195  423.365  423.481
  BM5_NCC                      15  450.908  132.186  482.432  527.948  529.361
  BM_SAD                       15  145.321  39.3064  158.772  173.829  175.025
  BM_CENSUS                    15  173.717  48.4767  184.075  205.122  205.181
  BM_NCC                       15  225.744  62.5907  243.053  268.176  268.225
  SGM_ABSOLUTE_DIFFERENCE      15  2029.88  586.038  2138.56  2410.62  2429.25
  SGM_CENSUS                   15  2338.44    650.5  2551.43  2699.24  2761.95
  SGM_MUTUAL_INFORMATION       15  2399.48  661.474  2552.22  2795.42  2801.47
