# GENERATOR DisparityDistanceRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  BM5_SAD                     200  20.4599  18.6732  19.4189  23.2956  71.1547
  BM5_CENSUS                  200  24.6489  22.6982  23.5595  27.7825  84.8581
  BM5_NCC                     200  35.4847  34.4848  34.8184  36.1745    127.1
  BM_SAD                      200  10.6351  10.3244  10.4495  11.3626  18.6865
  BM_CENSUS                   200  14.8849  14.4872  14.6646  15.3216  36.7364
  BM_NCC                      200  17.0927  14.9284  16.0051  22.1015  32.6611
  SGM_ABSOLUTE_DIFFERENCE     200  162.456  153.759  156.257  185.489   287.88
  SGM_CENSUS                  200  165.611  156.974  160.664  188.239  194.855
  SGM_MUTUAL_INFORMATION      200  211.031  203.457  206.925  229.582  276.361
