# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  girl                        502   1.3566  4.24E-04  5.05E-04  15.0201  19.9466
  surfer                      376  .362245  4.33E-04  5.00E-04  6.97E-04  14.0178
  sylv                       1344  3.12581  3.24E-04  4.04E-04  8.93979  11.7376
  tiger1                      354  .365907  3.93E-04  4.51E-04  6.42E-04  12.3384
  tiger2                      365  1.22536  4.39E-04  5.65E-04  11.6007  15.3135
  twinings                    467  2.15131  4.45E-04  5.23E-04  7.27273  11.0007
  01_david                    761  .033414  3.71E-04  4.36E-04  5.03E-04  13.3736
  02_jumping                  313  .420965  3.97E-04  4.70E-04  1.41E-03  10.8365
  03_pedestrian1              140  3.82077  3.75E-04  4.46E-04  14.4805  17.1021
  04_pedestrian2              338  .359738  1.31E-04  1.42E-04  2.18E-04  12.9288
  05_pedestrian3              184  2.75173  1.41E-04  1.54E-04  10.5038   12.181
  06_car                      945  1.73975  1.35E-04  1.48E-04  9.24638  12.4488
  07_motocross               2665  .067212  6.90E-05  1.38E-04  2.23E-04  20.6669
  08_volkswagen              8576  1.71E-03  5.80E-05  7.30E-05  9.30E-05  12.4976
  09_carchase                9928  5.93E-03  5.90E-05  7.00E-05  9.50E-05  12.6669
  10_panda                   3000  .127612  6.00E-05  7.40E-05  1.11E-04   10.745

Summary:
                              N       Mean      P05      P50      P95      MAX
  BoofCV-TLD                33365   70.364  15.9089  67.1363  134.301  207.555
  BoofCV-Circulant          33365  .736686  .691877  .734322  .789127  12.8911
  BoofCV-Comaniciu          33365  .590695  .111507  .637301  .927382  6.51276
  BoofCV-MeanShiftHist      33365  .023489  1.35E-04  3.26E-04  .142634  2.20723
  BoofCV-SparseFlow         33365  .672917  6.00E-05  8.00E-05  7.18161  20.6669
