# default
# Average runtime in milliseconds for each dataset for default
             blurred   35.390 (ms)
        bright_spots   72.047 (ms)
          brightness   82.025 (ms)
               close   68.816 (ms)
              curved    4.101 (ms)
           defective    1.293 (ms)
               focus   87.290 (ms)
             nominal   21.794 (ms)
           rotations   27.409 (ms)
             shadows   27.142 (ms)
